# 자동 생성 — 일본판 메타 + 이미지 URL
# 출처: yuyu-tei (이름/rarity/번호) + PokeGuardian (고화질 이미지)
# name_ko 칼럼은 일본어 이름 그대로. 필요 시 직접 편집.
# 생성: 2026-05-02
number	name_ko	rarity	card_type	subtype	hp	type	image_url	_source
84	ハリマロン	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/084-high-5ffsqm.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
85	フォッコ	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/085-high-eg9bvh.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
86	ケロマツ	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/086-high-cm1zq5.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
87	ゲコガシラ	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/087-high-zrgl4k.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
88	デンリュウ	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/088-high-0het0a.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
89	ゼルネアス	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/089-high-xi0tcl.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
90	ネンドール	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/090-high-bvcvgc.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
91	クロバット	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/091-high-myrrmn.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
92	メタング	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/092-high-0iub7z.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
93	ヌメイル	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/093-high-hy9a6v.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
94	ケンタロス	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/094-high-n66m4b.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
95	ミルホッグ	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/095-high-bkg2hr.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
96	スピアーex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/096-high-x4syew.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
97	メガカエンジシex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/097-high-wth5ij.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
98	メガゲッコウガex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/098-high-ntxs5o.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
99	メガフラエッテex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/099-high-p9vnqq.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
100	パンプジンex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/100-high-9htp4i.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
101	コバルオンex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/101-high-uvj3k2.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
102	メガドラミドロex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/102-high-ubrcj2.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m04)
