# 자동 생성 — 일본판 메타 + 이미지 URL
# 출처: yuyu-tei (이름/rarity/번호) + PokeGuardian (고화질 이미지)
# name_ko/card_type은 m6-storm-emerald-metadata.tsv 검수본을 반영했다. 이 파일을 다시 생성한 뒤에는 update:card-metadata를 다시 실행한다.
# 생성: 2026-08-16
number	name_ko	rarity	card_type	subtype	hp	type	image_url	_source
77	비나방	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/077-high-9t42p0.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
78	가디	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/078-high-73duub.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
79	마그마번	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/079-high-poiio0.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
80	가이오가	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/080-high-vk16ii.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
81	에레키블	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/081-high-ba6yxp.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
82	찌르성게	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/082-high-08gmkl.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
83	러브로스	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/083-high-q9k5yl.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
84	그란돈	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/084-high-qp6c3c.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
85	오케이징	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/085-high-nl9zxe.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
86	루리리	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/086-high-slo0fj.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
87	파비코리	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/087-high-xiw67m.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
88	켈리몬	AR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/088-high-a7kkzo.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
89	메가갑주무사 ex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/089-high-mrg3e9.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
90	히트로토무 ex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/090-high-5dgjuq.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
91	약어리 ex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/091-high-60kh2q.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
92	라이코 ex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/092-high-o0wq24.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
93	메가골루그 ex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/093-high-530k07.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
94	메가칼라마네로 ex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/094-high-38u3uy.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
95	메가레쿠쟈 ex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/095-high-knaf2r.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
96	파이어로 ex	SR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/096-high-qlozd4.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
97	모험 랜턴	SR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/097-high-ywokrm.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
98	텔레코 포켓몬 캐처	SR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/098-high-a1jqg5.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
99	텔레코 특별주문조끼	SR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/099-high-tc8kn8.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
100	MC의 호응유도	SR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/100-high-n3rmxi.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
101	성한	SR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/101-high-fsc7op.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
102	피아나의 신뢰	SR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/102-high-qq51z4.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
103	풍&란의 수행	SR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/103-high-sx0n48.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
104	그로우 풀   에너지	SR	에너지				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/104-high-yhwyal.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
105	니트로 불꽃   에너지	SR	에너지				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/105-high-zjbu8z.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
106	버블 물   에너지	SR	에너지				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/106-high-yzvr2g.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
107	메가갑주무사 ex	SAR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/107-high-7viekv.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
108	라이코 ex	SAR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/108-high-20xkyh.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
109	메가골루그 ex	SAR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/109-high-aqf1ky.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
110	메가레쿠쟈 ex	SAR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/110-high-ylshdu.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
111	성한	SAR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/111-high-mwtcm3.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
112	피아나의 신뢰	SAR	트레이너				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/112-high-denz6h.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
113	메가레쿠쟈 ex	UR	포켓몬				https://primary.jwwb.nl/public/h/t/i/temp-zjpebgcobmaxydcmrfwb/113-high-188yvn.jpg	PokeGuardian (https://yuyu-tei.jp/sell/poc/s/m06)
