# 한국 공식 M6 기본 76종과 일본판 시크릿 폴백의 한글 표시명/유형 검수본.
# 2026-08-21 기준 1~71·73·75번은 pokemoncard.co.kr 공식 DB를 사용한다.
# 71/73/75번 공식 이미지는 각각 좌우 카드 합본이므로 72/74/76번 이름도 합본 인쇄명을 따른다.
# 77번 이후 한국 DB 미등록 시크릿은 기존 한국 공식 카드명/포켓몬명과 검수 번역을 사용한다.
number	name_ko	card_type
1	헤라크로스	포켓몬
2	비구술	포켓몬
3	비나방	포켓몬
4	선인왕	포켓몬
5	밤선인	포켓몬
6	세꿀버리	포켓몬
7	비퀸	포켓몬
8	꼬시레	포켓몬
9	메가갑주무사 ex	포켓몬
10	가디	포켓몬
11	윈디	포켓몬
12	마그마	포켓몬
13	마그마번	포켓몬
14	코터스	포켓몬
15	히트로토무 ex	포켓몬
16	앤티골	포켓몬
17	만타인	포켓몬
18	가이오가	포켓몬
19	탱그릴	포켓몬
20	탱탱겔	포켓몬
21	약어리 ex	포켓몬
22	에레브	포켓몬
23	에레키블	포켓몬
24	라이코 ex	포켓몬
25	볼트로스	포켓몬
26	찌르성게	포켓몬
27	찌리비	포켓몬
28	찌리비크	포켓몬
29	슬리프	포켓몬
30	슬리퍼	포켓몬
31	기라티나	포켓몬
32	골비람	포켓몬
33	메가골루그 ex	포켓몬
34	러브로스	포켓몬
35	모래두지	포켓몬
36	고지	포켓몬
37	롱스톤	포켓몬
38	강철톤	포켓몬
39	그란돈	포켓몬
40	랜드로스	포켓몬
41	니드런♀	포켓몬
42	니드리나	포켓몬
43	니드퀸	포켓몬
44	페이검	포켓몬
45	아리아도스	포켓몬
46	깜까미	포켓몬
47	오케이징	포켓몬
48	메가칼라마네로 ex	포켓몬
49	크리만	포켓몬
50	짜랑꼬	포켓몬
51	짜랑고우	포켓몬
52	짜랑고우거	포켓몬
53	모토마	포켓몬
54	루리리	포켓몬
55	파비코	포켓몬
56	파비코리	포켓몬
57	켈리몬	포켓몬
58	메가레쿠쟈 ex	포켓몬
59	토네로스	포켓몬
60	화살꼬빈	포켓몬
61	불화살빈	포켓몬
62	파이어로 ex	포켓몬
63	맛있는 주먹밥	트레이너
64	모험 랜턴	트레이너
65	메가레쿠쟈캡	트레이너
66	특별주문조끼	트레이너
67	MC의 호응유도	트레이너
68	성한	트레이너
69	풍&란의 수행	트레이너
70	피아나의 신뢰	트레이너
71	전설의 산정	트레이너
72	전설의 산정	트레이너
73	전설의 용암동굴	트레이너
74	전설의 용암동굴	트레이너
75	전설의 해구	트레이너
76	전설의 해구	트레이너
77	비나방	포켓몬
78	가디	포켓몬
79	마그마번	포켓몬
80	가이오가	포켓몬
81	에레키블	포켓몬
82	찌르성게	포켓몬
83	러브로스	포켓몬
84	그란돈	포켓몬
85	오케이징	포켓몬
86	루리리	포켓몬
87	파비코리	포켓몬
88	켈리몬	포켓몬
89	메가갑주무사 ex	포켓몬
90	히트로토무 ex	포켓몬
91	약어리 ex	포켓몬
92	라이코 ex	포켓몬
93	메가골루그 ex	포켓몬
94	메가칼라마네로 ex	포켓몬
95	메가레쿠쟈 ex	포켓몬
96	파이어로 ex	포켓몬
97	모험 랜턴	트레이너
98	텔레코 포켓몬 캐처	트레이너
99	텔레코 특별주문조끼	트레이너
100	MC의 호응유도	트레이너
101	성한	트레이너
102	피아나의 신뢰	트레이너
103	풍&란의 수행	트레이너
104	그로우 풀   에너지	에너지
105	니트로 불꽃   에너지	에너지
106	버블 물   에너지	에너지
107	메가갑주무사 ex	포켓몬
108	라이코 ex	포켓몬
109	메가골루그 ex	포켓몬
110	메가레쿠쟈 ex	포켓몬
111	성한	트레이너
112	피아나의 신뢰	트레이너
113	메가레쿠쟈 ex	포켓몬
