number	name_ko	rarity	card_type	subtype	hp	type	image_url	_source
88	리피아 VMAX	HR	포켓몬		310	풀	external/s6a-eevee-heroes/BS2021007088.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-088-069.jpg
89	리피아 VMAX	HR	포켓몬		310	풀	external/s6a-eevee-heroes/BS2021007089.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-089-069.jpg
90	글레이시아 VMAX	HR	포켓몬		310	물	external/s6a-eevee-heroes/BS2021007090.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-090-069.jpg
91	글레이시아 VMAX	HR	포켓몬		310	물	external/s6a-eevee-heroes/BS2021007091.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-091-069.jpg
92	님피아 VMAX	HR	포켓몬		310	초	external/s6a-eevee-heroes/BS2021007092.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-092-069.jpg
93	님피아 VMAX	HR	포켓몬		310	초	external/s6a-eevee-heroes/BS2021007093.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-093-069.jpg
94	블래키 VMAX	HR	포켓몬		310	악	external/s6a-eevee-heroes/BS2021007094.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-094-069.jpg
95	블래키 VMAX	HR	포켓몬		310	악	external/s6a-eevee-heroes/BS2021007095.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-095-069.jpg
96	아로마 아가씨	HR	트레이너				external/s6a-eevee-heroes/BS2021007096.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-096-069.jpg
97	마쿠와	HR	트레이너				external/s6a-eevee-heroes/BS2021007097.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-097-069.jpg
98	인텔리레온	UR	포켓몬		160	물	external/s6a-eevee-heroes/BS2021007098.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-098-069.jpg
99	부쩍부쩍 셰이크	UR	트레이너				external/s6a-eevee-heroes/BS2021007099.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-099-069.jpg
100	터프스타디움	UR	트레이너				external/s6a-eevee-heroes/BS2021007100.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-100-069.jpg
101	기본 악 에너지	UR	에너지				external/s6a-eevee-heroes/BS2021007101.jpg	https://cardshop-serra.com/html/upload/save_image/Pokemon/S6A/S6A-101-069.jpg
